4684,,3.00,GEN EL,General Elective,ETHN 326,4690,"GD, GE",African-American Music (Dv),
4684,,3.00,GEN EL,General Elective,ETHN 337,4690,"GD, GE",African-American History (Dv),
4684,,3.00,GEN EL,General Elective,ETHN 363,4690,"GD, GE",Comm/Ethnicity:  (Dv),
4684,,3.00,GEN EL,General Elective,ETHN 367,4690,"GD, GE",Studies in Amer Ethn Lit,
4684,L,5.00,GEOGRPY 210,Physical Geography,GEOG 100,4690,GL,Physical Geog & the Environmnt,
4684,U,3.00,GEOGRPY 232,Geog Race Ethnicity in US,GEOG 101,4690,"GD, GS",Geog Amer Ethnicity/Race (Dv),
4684,L,3.00,GEOGRPY 230,Human Geography,GEOG 105,4690,GS,Contemporary Human Geography,
4684,L,3.00,GENED 140,Global Perspectives,GEOG 110,4690,GS,Intro to Geog: World Regions,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 195,4690,,Fr Seminar-Geography,
4684,U,3.00,GEOGRPY 340,Economic Geography,GEOG 215,4690,,Economic Geography,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 223,4690,,Climatol/Water Resource,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 224,4690,,Landform Geography,
4684,L,3.00,GEOGRPY 270,Gis I: Intro to Gis/Maps,GEOG 250,4690,,Map Use and Analysis,
4684,,1.00,GEOGRPY EL,Geography Elective,GEOG 290,4690,,Special Topics,"263, 8"
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 300,4690,,Geographic Methods,
4684,,4.00,GEOGRPY EL,Geography Elective,GEOG 301,4690,,Geomorphology,
4684,L,3.00,GEOGRPY 261,Geography Canada/U.S.,GEOG 310,4690,GS,Geography of the U.S. & Canada,
4684,L,3.00,GEOGRPY 250,Geography of Wisconsin,GEOG 315,4690,GS,Geography of Wisconsin,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 320,4690,,Regional Geography:,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 350,4690,,Cartography and Gis,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 355,4690,,Cartographic Methods,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 360,4690,,Urban Geography,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 375,4690,,Geography of Transportation,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 380,4690,,Conserv Natural Resource,
4684,L,4.00,FRENCH 141,Beginning French,FREN 103,4690,GH,Introductory French I,
4684,L,4.00,FRENCH 142,Beginning French,FREN 104,4690,GH,Introductory French II,
4684,,3.00,FRENCH EL,French Elective,FREN 195,4690,,Fr Seminar-French,
4684,L,4.00,FRENCH 251,Intermediate French,FREN 203,4690,GH,Intermediate French I,
4684,L,4.00,FRENCH 252,Intermediate French,FREN 204,4690,GH,Intermediate French II,
4684,U,3.00,FRENCH 350,French Civilization,FREN 218,4690,,French Civ/Cult (Engl),
4684,,3.00,FRENCH EL,French Elective,FREN 225,4690,GH,Intro Fren Lit Trans:,
4684,,1.00,FRENCH EL,French Elective,FREN 290,4690,,Special Topics,"263, 8"
4684,U,4.00,FRENCH 321,Advanced French Lng Study,FREN 303,4690,GH,Adv French I,
4684,U,4.00,FRENCH 322,Advanced French Lng Study,FREN 304,4690,GH,Adv French II,
4684,U,3.00,FRENCH 350,French Civilization,FREN 318,4690,,French Civilization & Culture:,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 390,4690,,Special Topics,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 450,4690,,Cmptr Assist Cartography,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 455,4690,,Remote Sensing,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 460,4690,,Introduction to Gis Analysis,
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 490,4690,,Special Topics,8
4684,,3.00,GEOGRPY EL,Geography Elective,GEOG 494,4690,,Internship in Geography,8
4684,,1.00,GEOGRPY EL,Geography Elective,GEOG 499,4690,,Independent Study,"263, 8"
4684,,1.00,GEN EL,General Elective,GNED 101,4690,,University Seminar,
4684,,1.00,GEN EL,General Elective,GNED 290,4690,,Special Topics,"263, 8"
4684,,3.00,HISTRY EL,History Elective,HIST 101,4690,GH,U.S.: Origins-Reconstruction,
4684,L,3.00,HISTRY 125,American History Since 1877,HIST 102,4690,"GD, GH",U.S.: Reconstuctn-Recent Times,
4684,U,3.00,HISTRY 311,Wisconsin History,HIST 106,4690,,History of Wisconsin,
4684,,3.00,HISTRY EL,History Elective,HIST 111,4690,GH,Intro Woms Std Women Hist,
4684,,3.00,HISTRY EL,History Elective,HIST 118,4690,GH,West Civ I: Antiquity to 1300,
4684,L,3.00,HISTRY 154,Western Civilization,HIST 119,4690,GH,West Civ II: Midl Ages to 1815,
4684,L,3.00,HISTRY 155,History of Modern Europe,HIST 120,4690,GH,West Civ III: 1815-the Present,
4684,,3.00,HISTRY EL,History Elective,HIST 126,4690,GH,Wrld Hist I: Antiquity to 1300,
4684,,3.00,HISTRY EL,History Elective,HIST 127,4690,GH,Wrld Hist II: From 1300-1800,
4684,,3.00,HISTRY EL,History Elective,HIST 128,4690,GH,Wrld Hist III: 1800 to Present,
4684,,3.00,HISTRY EL,History Elective,HIST 180,4690,GH,Popular Culture:,
4684,,3.00,HISTRY EL,History Elective,HIST 195,4690,GH,Fr Seminar-History,
4684,,3.00,HISTRY EL,History Elective,HIST 201,4690,GH,Tech/Working Modern Amer,
4684,,3.00,HISTRY EL,History Elective,HIST 210,4690,"GD, GH",Blues As Hist/Cultur (Dv),
4684,,3.00,HISTRY EL,History Elective,HIST 221,4690,GH,Beginnings of Sci/Sci Rev-1750,
4684,,3.00,HISTRY EL,History Elective,HIST 222,4690,GH,Hist Modern Science Since 1750,
4684,,3.00,HISTRY EL,History Elective,HIST 223,4690,GH,History of Medicine,
4684,,3.00,HISTRY EL,History Elective,HIST 225,4690,GH,Environmntl History North Amer,
4684,,3.00,HISTRY EL,History Elective,HIST 235,4690,GH,History of Feminism,
4684,U,3.00,HISTRY 326,Global Women's History,HIST 236,4690,,Women in Modern Society,
4684,,3.00,HISTRY EL,History Elective,HIST 247,4690,GH,Latin America History,
4684,,3.00,HISTRY EL,History Elective,HIST 250,4690,,Sources and Methods in History,
4684,L,3.00,HISTRY 131,East Asia Since 1800,HIST 251,4690,GH,Modernization-East Asia,
4684,,3.00,HISTRY EL,History Elective,HIST 260,4690,GH,International Conflict:,
4684,,3.00,HISTRY EL,History Elective,HIST 262,4690,GH,Hist Patterns of Peace/Warfare,
4684,,3.00,HISTRY EL,History Elective,HIST 274,4690,GH,Europe Since 1945,
4684,,1.00,HISTRY EL,History Elective,HIST 290,4690,,Special Topics,"263, 8"
4684,,3.00,HISTRY EL,History Elective,HIST 302,4690,"GD, GH",Race/Ethn: Usa 1890-Pres (Dv),
4684,,3.00,HISTRY EL,History Elective,HIST 312,4690,,U.S. Wld Power:,
4684,,3.00,HISTRY EL,History Elective,HIST 313,4690,,Colonialism,
4684,,3.00,HISTRY EL,History Elective,HIST 314,4690,,Technology/Civilization,
4684,,3.00,HISTRY EL,History Elective,HIST 323,4690,,Labor History of the U.S.,
4684,,3.00,HISTRY EL,History Elective,HIST 324,4690,,History of American Politics,
4684,,3.00,HISTRY EL,History Elective,HIST 325,4690,,Mayhem and the Metropolis,
4684,U,3.00,HISTRY 362,American Business History,HIST 327,4690,GH,History of Britain I: to 1603,
4684,,3.00,HISTRY EL,History Elective,HIST 335,4690,,Native American History (Dv),
4684,L,3.00,HISTRY 141,Modern Black Amer History,HIST 337,4690,"GD, GH",African-American History (Dv),
4684,,3.00,HISTRY EL,History Elective,HIST 341,4690,,Urbanization of the U.S.,
4684,,3.00,HISTRY EL,History Elective,HIST 344,4690,,Gilded Age & Progressive Era,
4684,,3.00,HISTRY EL,History Elective,HIST 345,4690,,Amer in Power/Peril 1917-1953,
