level,credits,course_2,title_2,course_1,gen_ed,title_1,special
None,0.50,GEN EL,General Elective,PEGNRL 177,None,Intro Martial Arts Weapons,None
None,1.00,HESM 110,Scuba Diving,PEGNRL 180,None,Open Water Scuba,None
None,0.50,GEN EL,General Elective,PEGNRL 183,None,Exercisewalking,None
None,0.50,GEN EL,General Elective,PEGNRL 185,None,Beg Mountain/Rappelling,None
None,0.50,GEN EL,General Elective,PEGNRL 186,None,Beginning Orienteering,None
None,1.00,GEN EL,General Elective,PEGNRL 187,None,Military Conditioning I,None
None,0.50,GEN EL,General Elective,PEGNRL 190,None,Swim For Fitness,None
None,1.00,GEN EL,General Elective,PEGNRL 192,None,Pers Hlth & Fitness Life,None
None,1.00,GEN EL,General Elective,PEGNRL 193,None,Intercol Athletic Participatn,None
None,3.00,PHYS EL,Physics Elective,PHYSCS 100,None,Energy,None
None,4.00,PHYS EL,Physics Elective,PHYSCS 120,None,Light and Color,None
None,5.00,PHYS 101,Principles of Physics,PHYSCS 130,None,Physics Foundations,None
None,5.00,PHYS 105,College Physics I,PHYSCS 140,None,Principles of Physics I,None
None,3.00,PHYS EL,Physics Elective,PHYSCS 150,None,Einstein to Star Trek,None
None,3.00,GEN EL,General Elective,PHYSCS 152,None,Photography,None
None,4.00,PHYS 105,College Physics I,PHYSCS 160,None,General Physics I,None
None,1.00,PHYS 105,College Physics I,PHYSCS 161,None,General Physics Lab I,None
None,4.00,PHYS 106,College Physics II,PHYSCS 162,None,General Physics II,None
None,1.00,PHYS 106,College Physics II,PHYSCS 163,None,General Physics Lab II,None
None,3.00,PHYS 201,General Physics I,PHYSCS 170,None,Introductory Physics I,None
None,4.00,GEN EL,General Elective,PHYSCS 172,None,Introductory Physics II,None
None,1.00,GEN EL,General Elective,PHYSCS 173,None,Intro Physic Laboratory I,None
None,4.00,GEN EL,General Elective,PHYSCS 174,None,Introductory Physics III,None
None,1.00,GEN EL,General Elective,PHYSCS 175,None,Intro Physics Lab II,None
None,3.00,PHYS EL,Physics Elective,PHYSCS 210,None,Descriptive Physics,None
None,2.00,PHYS EL,Physics Elective,PHYSCS 221,None,Intermediate Laboratory,None
None,3.00,PHYS EL,Physics Elective,PHYSCS 240,None,Physics of Sound/Music,None
None,3.00,PHYS 301,Classical Mechanics,PHYSCS 280,None,Eng Mechanics: Statics,None
None,3.00,PHYS 301,Classical Mechanics,PHYSCS 282,None,Eng Mechanics: Dynamics,None
None,1.00,GEN EL,General Elective,POLISCI 105,None,Stat & Local Suplmt to Pol 104,None
None,3.00,POLS 100,American Politics,POLISCI 141,None,American Govmnt/Politics,None
None,3.00,GEN EL,General Elective,POLISCI 217,None,Ethnic Politics,None
None,3.00,POLS 280,Criminal Justice Process,POLISCI 247,None,Issues/Crises Amer Poltcs,None
None,3.00,POLS 105,Introduction to Politics,POLISCI 250,None,Intro Political Theory,None
None,3.00,GEN EL,General Elective,POLISCI 255,None,Intro Comparative Politics,None
None,3.00,CRMJ 200,Criminal Justice Rsch Mthds,POLISCI 301,None,Pol Science Rsch Methods,None
None,3.00,POLS 203,"Women, Power and Politics",POLISCI 315,None,Women and American Politics,None
None,3.00,CRMJ 235,Police and Society,POLISCI 316,None,Police/Crim Justice Admin,None
None,3.00,POLS 214,Executive&Legislative Politics,POLISCI 317,None,Amer Legislative Process,None
None,3.00,POLS 215,The Presidency,POLISCI 318,None,The American Presidency,None
None,3.00,POLS 202,Public Policy,POLISCI 320,None,Public Policy/Administrtn,None
None,3.00,POLS 360,Pol Parties & Interest Groups,POLISCI 321,None,Interest Group Politics,None
None,3.00,POLS 130,State and Local Politics,POLISCI 344,None,State/Local Government,None
None,3.00,POLS 104,Intro International Relations,POLISCI 351,None,International Relations,None
None,3.00,POLS 103,Intro to Comparative Politics,POLISCI 352,None,Compartve Govrnmnt-Europe,None
None,1.00,POLS 209,Legal Research & Writing,POLISCI 360,None,Resources Legal Research,None
None,3.00,POLS 320,Const Law:Structr/Pwr US Govt,POLISCI 413,None,Constitutional Law,None
None,3.00,POLS 310,Const Law: Civil Liberties,POLISCI 415,None,Criminal Justice/Const,None
None,3.00,POLS 116,Introduction to Law,POLISCI 419,None,The Judicial Process,None
None,3.00,POLS 105,Introduction to Politics,POLISCI 420,None,American Political Thght,None
None,3.00,POLS 224,American Foreign Policy,POLISCI 457,None,American Foreign Policy,None
None,3.00,GEN EL,General Elective,PSYCH 104,None,Psych of Human Adjustment,None
None,3.00,GEN EL,General Elective,PSYCH 105,None,Individual and Society,None
None,3.00,GEN EL,General Elective,PSYCH 135,None,Psychology of Retirement,None
None,3.00,GEN EL,General Elective,PSYCH 202,None,Psychology of Women,None
None,3.00,PSYC 101,Intro to Psychological Science,PSYCH 211,None,Introductory Psychology,None
None,3.00,PSYC 250,Psychological Statistics,PSYCH 215,None,Basic Statistical Methods,None
None,5.00,PSYC 300,Research Methods in Psychology,PSYCH 216,None,Research Methods,None
None,3.00,PSYC 260,Psychology of Personality,PSYCH 301,None,Intro Behavioral Neuroscience,None
None,3.00,PSYC 325,Biological Psychology,PSYCH 304,None,Psychology of Personality,None
None,3.00,PSYC EL,Psychology Elective,PSYCH 332,None,Psychology of Adolescence,None
None,3.00,PSYC 360,Abnormal Psychology,PSYCH 345,None,Abnormal Psychology,None
None,3.00,PSYC 205,Cognitive Psychology,PSYCH 351,None,Cognitive Psychology,None
None,3.00,PSYC 220,Social Psychology,PSYCH 355,None,Social Psychology,None
None,3.00,GEN EL,General Elective,RACEETH 150,None,Atlantic History,None
None,3.00,GEN EL,General Elective,RACEETH 217,None,Ethnic Politics,None
None,3.00,GEN EL,General Elective,RELIGST 201,None,Crit Issues Modern Relgn,None
None,3.00,GEN EL,General Elective,RELIGST 210,None,Intro Religions of World,None
None,3.00,HUMA 225,Religion-Far East,RELIGST 211,None,Intro to Asian Religions,None
None,3.00,HUMA 224,Religion-the West,RELIGST 212,None,Intro Western Religions,None
None,3.00,GEN EL,General Elective,RELIGST 221,None,Intro Early Hebrew Wrtngs,None
None,3.00,GEN EL,General Elective,RELIGST 222,None,Introduction to Judaism,None
None,3.00,GEN EL,General Elective,RELIGST 252,None,The Bible As Literature,None
None,3.00,HUMA-PHIL EL,Humanities - Philosophy Elective,RELIGST 330,None,"Religion, Sexuality and Gender",None
None,2.00,GEN EL,General Elective,RECREATN 232,None,Intro Recreation/Leisure,None
None,2.00,GEN EL,General Elective,SPECED 200,None,Person W/Disability Socty,None
None,3.00,GEN EL,General Elective,SPECED 201,None,Disability in Society,None
None,3.00,GEN EL,General Elective,SPECED 205,None,Intro to Special Educ,None
None,1.00,GEN EL,General Elective,SPECED 240,None,Manual Communication,None
None,1.00,GEN EL,General Elective,SPECED 250,None,Study in Braille,None
None,9.00,GEN EL,General Elective,SPECFLD 200E,None,Pre-Profess Block Sped El,None
None,9.00,GEN EL,General Elective,SPECFLD 200F,None,Pre-Profess Block Sped Sc,None
None,3.00,GEN EL,General Elective,SPECFLD 210,None,Obser/Part Special Educ,None
None,3.00,GEN EL,General Elective,SPECFLD 210E,None,O & P Special Ed Elemtry,None
None,3.00,GEN EL,General Elective,SPECFLD 210F,None,O & P Special Ed Secondry,None
None,3.00,GEN EL,General Elective,SOCIOLGY 105,None,Individual and Society,None
None,3.00,SOCA 101,Introduction to Sociology,SOCIOLGY 140,None,Introductory Sociology,None
None,3.00,SS-SOCA EL,Soc Sciences - Socio & Anthro Elective,SOCIOLGY 240,None,Principles of Sociology,None
None,3.00,SOCA 102,Contemporary Social Problems,SOCIOLGY 250,None,Social Problems,None
None,3.00,SOCA 207,Marriage and Family,SOCIOLGY 252,None,Intro to Family Studies,None
None,3.00,GEN EL,General Elective,SOCIOLGY 260,None,Sociology of Hate,None
None,3.00,SOCA 206,Race/Ethnc Relations in US(Dv),SOCIOLGY 265,None,Race & Ethnic Relations,None
None,3.00,SOCA EL,Sociology Elective,SOCIOLGY 270,None,Afri Am Comunty Soc Persp,None
None,3.00,CRMJ 233,Criminology,SOCIOLGY 276,None,Introduction Criminology,None
None,3.00,SOCA EL,Sociology Elective,SOCIOLGY 280,None,Intro Australian Studies,None
None,3.00,SOCA 228,Peoples of Southeast Asia,SOCIOLGY 285,None,Asian Americans,None
None,3.00,SOCA EL,Sociology Elective,SOCIOLGY 290,None,Sociology of Pacific Asia,None
None,3.00,SOCA EL,Sociology Elective,SOCIOLGY 342,None,Soc of Fam and Work,None
None,3.00,SOCA 213,Gender and Society,SOCIOLGY 345,None,Sociology of Gender,None
None,3.00,SOCA 321,Religion and Society,SOCIOLGY 353,None,Sociology of Religion,None
None,3.00,SOCA 234,Juvenile Delinquency/Justice,SOCIOLGY 370,None,Juvenile Delinquency,None
None,3.00,SOCA EL,Sociology Elective,SOCIOLGY 374,None,Sociolgy of Police and Courts,None
None,3.00,SOCA EL,Sociology Elective,SOCIOLGY 378,None,Sociology of Pnshmnt and Corre,None
None,3.00,SOCA 207,Marriage and Family,SOCIOLGY 455,None,Sociology of the Family,None
None,3.00,SOCA 295,Social Science Research Mthds,SOCIOLGY 476,None,Methods Social Research,None
None,3.00,SOCA EL,Sociology Elective,SOCIOLGY 478,None,Sociology in Practice,None
None,2.00,THEA 110,Theatre Appreciation,THEATRE 100,None,Theatre Appreciation,None
None,4.00,GEN EL,General Elective,THEATRE 110,None,Introduction to Theatre,None
None,3.00,THEA 125,Acting I,THEATRE 120,None,Introduction to Acting,None
None,1.00-2.00,THEA 010,Theatre Practicum I,THEATRE 200,None,Theatre Activities,None
None,0.50-2.00,THEA 014,Acting Practicum,THEATRE 201,None,Practicum - Acting,None
None,0.50-2.00,GEN EL,General Elective,THEATRE 202,None,Practicum - Directing,None
None,0.50-2.00,THEA 010,Theatre Practicum I,THEATRE 203,None,Practicum - Sound,None
None,0.50-2.00,THEA 010,Theatre Practicum I,THEATRE 204,None,Practicum - Stagecraft,None
None,0.50-2.00,THEA 010,Theatre Practicum I,THEATRE 205,None,Practicum - Lighting,None
None,0.50-2.00,THEA 010,Theatre Practicum I,THEATRE 206,None,Practicum - Costuming,None
None,0.50-2.00,THEA 010,Theatre Practicum I,THEATRE 207,None,Practicum - Mgmt/Publicty,None
None,0.50-2.00,THEA 010,Theatre Practicum I,THEATRE 208,None,Practicum - Makeup,None
None,0.50-2.00,THEA 010,Theatre Practicum I,THEATRE 209,None,Practicum-Theatre Tour,None
None,1.00-2.00,THEA EL,Theatre Arts Elective,THEATRE 210,None,Lab Plywrtng/Thtr Crtcsm,None
None,3.00,GEN EL,General Elective,THEATRE 215,None,Auditioning,None
None,3.00,THEA 225,Acting II,THEATRE 220,None,Act Anlysis & Performance,None
None,3.00,THEA EL,Theatre Arts Elective,THEATRE 225,None,Script Analysis,None
None,3.00,THEA EL,Theatre Arts Elective,THEATRE 230,None,Movement For the Actor,None
None,2.00,THEA 121,Theatrical Make-Up I,THEATRE 242,None,Stage Make-Up,None
None,3.00,THEA 132,Stagecraft,THEATRE 250,None,Intro Technicl Thrtr Dsgn,None
None,4.00,THEA EL,Theatre Arts Elective,THEATRE 251,None,Intro Technical Theatre,None
None,3.00,THEA EL,Theatre Arts Elective,THEATRE 252,None,Intro Theatrical Design,None
None,3.00,THEA 132,Stagecraft,THEATRE 260,None,Produc Stage Management,None
None,3.00,THEA 206,Theatre History to 1660,THEATRE 270,None,Theatre History Survey,None
None,1.00-6.00,THEA 290,Special Topic in Theatre Arts:,THEATRE 300,None,Summer Theatre Production,None
None,0.50-2.00,THEA 214,Intermed Acting Practicum,THEATRE 301,None,Prod Prac-Acting,None
None,0.50-2.00,THEA 213,Assist Directr/Stage Mngr,THEATRE 312,None,Prod Prac-Directing,None
None,3.00,THEA 228,Voice For the Actor I,THEATRE 328,None,Vocal Prod/Stage Speech,None
None,2.00,GEN EL,General Elective,THEATRE 362,None,Non-Profit Arts Mgmt,None
None,3.00,THEA 290,Special Topic in Theatre Arts:,THEATRE 422,None,Acting For Camera,None
None,3.00,THEA 206,Theatre History to 1660,THEATRE 471,None,History Theatre Thru 1550,None
None,3.00,THEA 207,Theatre History 1660-Present,THEATRE 472,None,Thtr Hist Drama 1550-1875,None
None,1.00-6.00,THEA 290,Special Topic in Theatre Arts:,THEATRE 492,None,Field Study,None
None,3.00,GEN EL,General Elective,SOCWORK 102,None,Intro to Social Welfare  (Gs),None
None,1.00,GEN EL,General Elective,SOCWORK 161,None,Intro Soc Serv Computing,None
None,3.00,GEN EL,General Elective,SOCWORK 235,None,Child Welfare,None
None,3.00,GEN EL,General Elective,SOCWORK 236,None,Poverty & Social Welfare,None
None,4.00,GEN EL,General Elective,SOCWORK 311,None,Humn Beh/Soc Envrmnt,None
None,3.00,GEN EL,General Elective,SOCWORK 312,None,Humn Behsoc Envrmnt II,None
None,3.00,GEN EL,General Elective,SOCWORK 341,None,Sexuality For Prof Growth,None
None,3.00,GEN EL,General Elective,SOCWORK 371,None,Social Work Practice I,None
None,4.00,SPAN 103,Introductory Spanish I,SPANISH 141,None,Beginning Spanish,None
None,4.00,SPAN 104,Introductory Spanish II,SPANISH 142,None,Beginning Spanish,None
None,4.00,SPAN 203,Intermediate Spanish I,SPANISH 251,None,Intermediate Spanish,None
None,4.00,SPAN 204,Intermediate Spanish II,SPANISH 252,None,Intermediate Spanish,None
None,3.00,GEN EL,General Elective,SPANISH 260,None,Spanish Phonetics,None
None,3.00,WGSS 110,Intro Wmns/Gendr/Sexualty Stds,WOMENST 100,None,Intro Women's Studies,None
None,3.00,WGSS EL,"Women's, Gender and Sexuality Studies Elective",WOMENST 105,None,Individual and Society,None
None,3.00,GEN EL,General Elective,WOMENST 240,None,Women and Work,None
None,3.00,GEN EL,General Elective,WOMENST 250,None,Women American Culture,None
None,3.00,GEN EL,General Elective,WOMENST 280,None,Feminist Theories,None
None,3.00,WGSS EL,"Women's, Gender and Sexuality Studies Elective",WOMENST 303,None,Womn's Voices/Wmn's Lives,None
None,3.00,WGSS EL,"Women's, Gender and Sexuality Studies Elective",WOMENST 320,None,Lesbian Studies,None
None,3.00,WGSS EL,"Women's, Gender and Sexuality Studies Elective",WOMENST 370,None,Women: Race and Ethnicity,None
None,3.00,WGSS EL,"Women's, Gender and Sexuality Studies Elective",WOMENST 464,None,Global Gender Politics,None
None,1.00-3.00,WGSS 499,Independent Study,WOMENST 498,None,Independent Study,None
