level,credits,course_2,title_2,course_1,gen_ed,title_1,special
None,3.00,MGT 349,Organizational Behavior,MANGEMNT 301,None,Organizational Behavior,None
None,3.00,QM 319,Operations Mgt Principles,MANGEMNT 306,None,Operations Management,None
None,3.00,HRM 343,Human Resource Management,MANGEMNT 320,None,Human Resource Management,None
None,3.00,HRM 444,Compensation/Benefits,MANGEMNT 425,None,Compensation Management,None
None,3.00,HRM 441,Staffing Organizations,MANGEMNT 426,None,Staffing,None
None,3.00,HRM 442,Improving Employee Performance,MANGEMNT 428,None,Training and Development,None
None,3.00,BUS EL,General Business Elective,MANGEMNT 429,None,Employee Benefits,None
None,3.00,BUS 495,Capstone Strategic Management,MANGEMNT 489,None,Strategic Management,None
None,2.00,GEN EL,General Elective,LIBMEDIA 101,None,Intro Library Resources,None
None,1.00,GEN EL,General Elective,LIBMEDIA 201,None,Technology For Teachers,None
None,3.00,MKT 350,Marketing Principles,MARKETNG 311,None,Principles of Marketing,None
None,3.00,MKT 354,Marketing Research,MARKETNG 321,None,Marketing Research,None
None,3.00,MKT 455,Marketing Management,MARKETNG 479,None,Mktg Mgmnt and Policies,None
None,3.00,GEN EL,General Elective,MCS 210,None,Concepts Database Systems,None
None,3.00,GEN EL,General Elective,MCS 220,None,Intermediate Java,None
None,3.00,GEN EL,General Elective,MCS 231,None,Concepts Data Structure,None
None,3.00,GEN EL,General Elective,MCS 232,None,Cobol and Complex Systems,None
None,1.00,GEN EL,General Elective,MUSC 060,None,Private Instrumental Instruct,None
None,1.00,GEN EL,General Elective,MUSC 070,None,Private Vocal Instruction,None
None,1.00,GEN EL,General Elective,MUSC 080,None,Private Keyboard Instruct in P,None
None,0.00,MUSI 001,Concert Attendance,MUSC 100,None,Recital Attendance,None
None,3.00,MUSI 101,Fundamentals of Music,MUSC 111,None,Fundamentals of Music,None
None,1.00,GEN EL,General Elective,MUSC 126,None,Priv Instrmntl Instr (Np),None
None,1.00,MUSI 180,Class Voice,MUSC 127,None,Priv Vocal Instruc (Np),None
None,1.00,GEN EL,General Elective,MUSC 128,None,Priv Piano Instruc (Np),None
None,1.00,GEN EL,General Elective,MUSC 129,None,Priv Organ Instruc (Np),None
None,2.00,MUSI 201,Music Appreciation,MUSC 140,None,Intro to Classical Music,None
None,2.00,GEN EL,General Elective,MUSC 141,None,Hist Populr Music America,None
None,2.00,MUSI 206,Jazz Appreciation (Dv),MUSC 143,None,Survey of American Jazz,None
None,3.00,GEN EL,General Elective,MUSC 144,None,Cultural Music Americas,None
None,2.00,HUMA-MUS EL,Humanities - Music Elective,MUSC 150,None,Introduction Music Theory,None
None,2.00,MUSI 121,Music Theory II,MUSC 151,None,Theory I,None
None,2.00,MUSI 122,Music Theory II,MUSC 152,None,Theory II,None
None,2.00,MUSI 125,Aural Music Theory I,MUSC 153,None,Aural Skills I,None
None,2.00,MUSI 126,Aural Music Theory II,MUSC 154,None,Aural Skills II,None
None,1.00-4.00,GEN EL,General Elective,MUSC 160,None,Prv Instr Prim Prfrm (L1),None
None,1.00,MUSI 106,Jazz Appreciation (Dv),MUSC 161,None,University Bands,None
None,1.00,MUSI 104,Music Appreciation,MUSC 162,None,Orchestra,None
None,1.00,MUSI 109,Jazz Ensemble,MUSC 164,None,Jazz Bands,None
None,1.00,MUSA 064,Applied Clarinet,MUSC 165,None,Clarinet Techniques,None
None,1.00,GEN EL,General Elective,MUSC 166,None,Folk Guitar,None
None,1.00,MUSA 040,Applied Violin,MUSC 167,None,Violin & Viola Techniques,None
