4690,L,3.00,ART EL,Art Elective,ARTSTDIO 180,4684,,Intro Advertising Design,
4690,L,3.00,ART 122,Introduction to Drawing,ARTSTDIO 201,4684,HUA,Drawing I,
4690,L,3.00,ART 222,Intermediate Drawing,ARTSTDIO 202,4684,,Drawing II,
4690,U,3.00,GEN EL,General Elective,ARTSTDIO 213,4684,HUA,Intro to Digital Photo,
4690,L,3.00,GEN EL,General Elective,ARTSTDIO 221,4684,HUA,Intro Studio Non-Art Majr,
4690,L,3.00,GEN EL,General Elective,ARTSTDIO 222,4684,,Int. Water-Based Maedia,
4690,L,3.00,ART 203,Beginning Ceramics,ARTSTDIO 251,4684,,Ceramics I,
4690,L,3.00,ART 223,Beginning Art Metals,ARTSTDIO 271,4684,,Metal and Jewelry I,
4690,U,3.00,ART 323,Intermediate Art Metals,ARTSTDIO 272,4684,,Metal and Jewelry II,
4690,L,3.00,GEN EL,General Elective,ARTSTDIO 287,4684,,Comptr Graphcs For Artist,
4690,L,3.00,ART 282,Beginning Painting,ARTSTDIO 321,4684,,Painting I,
4690,L,3.00,ART 274,Typography I,ARTSTDIO 381,4684,,Graphic Design I: Typography,
4690,L,3.00,GEN EL,General Elective,EDFOUND 212,4684,,Educational Psychology,
4690,L,1.00,GEN EL,General Elective,EDFOUND 214,4684,,Portfolio Development I,
4690,L,3.00,GEN EL,General Elective,EDFOUND 222,4684,,Child Development,
4690,L,3.00,GEN EL,General Elective,EDFOUND 243,4684,,Found of Ed in Plur Soc,
4690,L,2.00,GEN EL,General Elective,ELEMMID 215,4684,,Methds Tch Art Elm/Mdl Sc,
4690,L,2.00,GEN EL,General Elective,ELEMMID 223,4684,,Elem School Music Methods,
4690,L,2.00,GEN EL,General Elective,ELEMMID 234,4684,,Elem Genrl Music Methods,
4690,L,2.00,GEN EL,General Elective,ELEMMID 236,4684,,Elm/Mdl Sch Instr Methods,
4690,L,4.00,GEN EL,General Elective,ENVSCI 200,4684,NSG,Intro Environ Sci,
4690,,3.00,DNT,Does Not Transfer,ENGLISH 090,4684,,Fundamentals of English,20
4690,,2.00,NDC,No Degree Credit,ENGLISH 091,4684,,Written Communications,5
4690,L,3.00,ENGL 100,Fundamentals of English,ENGLISH 101,4684,"UCTA,",College Writing & Reading,22
4690,L,3.00,ENGL 101,Composition and Reading,ENGLISH 102,4684,"UCTA,RWS",Writing/Reading/Research,22
4690,L,3.00,ENGL 101,Composition and Reading,ENGLISH 105,4684,"UCTA,RWS",Freshman English Honors,22
4690,L,4.00,ENGL EL,English Elective,ENGLISH 161,4684,,Adv Acad Reading in Esl,
4690,L,4.00,ENGL EL,English Elective,ENGLISH 162,4684,,College Wrtg Engl As Sec Lang,
4690,L,3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 200,4684,"HUE,DV",Chican@ Lit: to 1980,
4690,L,3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 201,4684,"HUE,DV",Contemporary Chicano Lit,
4690,L,3.00,ENGL EL,English Elective,ENGLISH 204,4684,HUE,Creative Writing II,
4690,L,0.00,ENGL EL,English Elective,ENGLISH 205,4684,HUE,Literary Magazines,
4690,L,3.00,ENGL 216,British Literature to 1800,ENGLISH 206,4684,,British Lit Survey I,
4690,L,3.00,ENGL 217,"British Literature, 1800-1920",ENGLISH 216,4684,HU,British Lit Survey II,
4690,L,3.00,ENGL 226,American Literature to 1855,ENGLISH 226,4684,,American Lit Survey I,
4690,L,3.00,GEN EL,General Elective,ENGLISH 234,4684,HUE,Shakespeare/Non-Engl Majr,
4690,L,3.00,ENGL 227,"American Literature, 1855-1920",ENGLISH 236,4684,HU,Am Literature II,
4690,U,3.00,ENGL 464,Studies in Cultural Trends:,ENGLISH 251,4684,,Class Myth/Lgnd Srce Lit,
4690,U,3.00,ENGL 368,The Bible As Literature,ENGLISH 252,4684,,The Bible As Literature,
4690,L,3.00,ENGL 246,Survey of  World Literature,ENGLISH 256,4684,,World Lit I: Anc Tms-Ren,
4690,L,3.00,ENGL 247,Survey of Modern World Lit,ENGLISH 257,4684,,World Lit II: Neocl-Modrn,
