to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4658,L,3.00,PUB ADM 243,Public Administration,POLS 225,4678,SS,Public Administration,
4658,L,3.00,POL SCI 243,Public Administration,POLS 225,4678,SS,Public Administration,
4658,U,3.00,POL SCI 382,Modern Political Thought,POLS 230,4678,HU,Intro to Pol Philosophy,
4658,L,3.00,POL SCI 106,Politics of World's Nations,POLS 245,4678,SS,Intro to Comparative Pol,
4658,L,3.00,POL SCI EL,Political Science Elective,POLS 253,4678,SS,State & Local Politics,
4658,L,3.00,POL SCI 210,American Public Policy,POLS 256,4678,SS,Public Policy Making,
4658,L,3.00,POL SCI 106,Politics of World's Nations,POLS 260,4678,SS,Intro to Intl Relations,
4658,U,6.00,POL SCI 489,Internship Political Science,POLS 279,4678,,Internship in Pol Sci I,
4658,L,3.00,POL SCI EL,Political Science Elective,POLS 289,4678,,Special Topic:Political Sci,
4658,L,3.00,SOCIOL 101,Introduction to Sociology,SOCI 100,4678,"UCTA,SS",Introduction to Sociology,22
4658,U,3.00,SOCIOL EL,Sociology Elective,SOCI 200,4678,,Sociological Inquiry,
4658,L,3.00,SOCIOL EL,Sociology Elective,SOCI 201,4678,,Theories of Sociology,
4658,L,3.00,SOCIOL 102,Solving Social Problems,SOCI 210,4678,SS,Social Problems,
4658,U,3.00,SOCIOL 341,Sociology of Deviant Behavior,SOCI 218,4678,,Deviant Behavior,
4658,L,3.00,SOCIOL EL,Sociology Elective,SOCI 220,4678,"SS, UCTA",Sociology of Diversity (D),22
4658,L,3.00,SOCIOL EL,Sociology Elective,SOCI 231,4678,,Sociology of Globalization(G),
4658,L,3.00,SOCIOL 104,Intro to Social Psychology,SOCI 241,4678,SS,Social Psychology,
4658,L,3.00,SOCIOL 261,Intro Statistical Thinking-Soc,SOCI 250,4678,QLB,Intro to Social Statistics,
4658,L,3.00,PSYCH 101,Introduction to Psychology,PSYC 101,4678,"UCTA,SS",General Psychology,22
4658,L,1.00,PSYCH EL,Psychology Elective,PSYC 110,4678,,Careers in Psychology,
4658,L,3.00,PSYCH 205,Personality,PSYC 160,4678,SS,Psychology of Adjustment,
4658,L,3.00,PSYCH 210,Psychological Statistics,PSYC 201,4678,QLB,Behavioral Statistics,
4658,U,3.00,PSYCH 325,Research Methods in Psychology,PSYC 205,4678,OWCB,Research Methods,
4658,U,3.00,PSYCH 325,Research Methods in Psychology,PSYC 216,4678,OWCB,Research Methods,
4658,L,3.00,PSYCH EL,Psychology Elective,PSYC 225,4678,,Psychology of Gender,
4658,L,1.50,SOCIOL EL,Sociology Elective,PSYC 236,4678,,Dev Psyc:Child & Adoles,
4658,L,3.00,PSYCH 260,Child Psychology,PSYC 245,4678,SS,Lifespan Development,
4658,U,3.00,PSYCH EL,Psychology Elective,PSYC 250,4678,,I/O Psychology,
4658,L,3.00,PSYCH EL,Psychology Elective,PSYC 260,4678,,Behavior Modification,
