to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 242,4690,AP,Jazz Dance I,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 251,4690,AP,Coaching Theory-Baseball,
9999,L,2.00,HES 207,Basketball Coaching,HESM 252,4690,AP,Coaching Theory-Basketball,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 255,4690,,Coaching Theory-Football,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 259,4690,,Coaching Theory-Soccer,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 260,4690,,Coaching Theory-Softball,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 261,4690,,Coaching Theory-Swimming,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 264,4690,,Coaching Theory-Track/Field,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 265,4690,,Coaching Theory-Wrestling,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 266,4690,,Coaching Theory-Volleyball,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 268,4690,AP,Officiate Team/Dual Sport,
9999,L,3.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 270,4690,AP,Lifetime Wellness,
9999,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",HESM 271,4690,AP,Lifetime Wellness Lab:,
9999,P,4.00,NDC,No Degree Credit,MATH 015,4690,,Intermediate Algebra,5
9999,L,4.00,MAT 105,Intro College Algebra,MATH 101,4690,EL,Intermediate Algebra,
9999,L,3.00,MAT 108,Quantitative Reasoning,MATH 102,4690,"CR,MS",Survey of Mathematics,
9999,L,2.00-4.00,MAT 117,Elementary Statistics,MATH 109,4690,"UCTA,MS",Intro to Statistics,"8, 22"
9999,L,4.00,MAT 105,Intro College Algebra,MATH 111,4690,EL,College Algebra I,
9999,L,4.00,MAT 110,College Algebra,MATH 112,4690,"MS,CR",College Algebra II,
9999,L,2.00,MAT 113,Trigonometry,MATH 113,4690,MS,Trigonometry,
9999,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH 114,4690,"UCTA,MS",College Algebra II/Trig,22
9999,L,3.00,MAT 211,Calculus,MATH 142,4690,MS,Calc Bus/Soc Sci Appls,
9999,L,3.00,MAT EL,Mathematics Elective,MATH 195,4690,MS,Fr Seminar-Mathematics,
9999,L,2.00,MAT EL,Mathematics Elective,MATH 204,4690,MS,Calculus & the Computer,
9999,L,1.00,MAT 220,Computer Illus Calc,MATH 205,4690,MS,Exercises in Computer,
9999,L,3.00,MAT 130,Math-Elem Teachers,MATH 215,4690,MS,Math Mdl Chld-Erly Adl Tchr  I,
