,to,level,credits,course_2,title_2,course_1,from_,gen_ed,"title_1,special"
259,4688,,1.0,ACCTG EL,Accounting Elective,ACCTG (101) 125,4688,,
260,4688,,4.0,ACCTG EL,Accounting Elective,ACCTG (101) 139,4688,,
261,4688,None,4.0,ACCTG EL,Accounting Elective,ACCTG (101) 141,4688,None,
262,9999,L,3.0,ART 180,Artist & Visual Arts,ART (815) 200,9999,FA,
263,9999,L,3.0,ART 111,Two-Dimensional Design,ART (815) 201,9999,AP,
264,9999,L,3.0,ART 112,Three-Dimensional Design,ART (815) 202,9999,AP,
265,9999,L,3.0,ART 112,Three-Dimensional Design,ART (815) 203,9999,AP,
266,9999,L,3.0,ART EL,Art Elective,ART (815) 204,9999,AP,
267,9999,L,3.0,ART 101,Introduction to Drawing,ART (815) 205,9999,AP,
268,9999,L,3.0,ART EL,Art Elective,ART (815) 206,9999,AP,
269,9999,L,3.0,ART EL,Art Elective,ART (815) 207,9999,AP,
270,9999,L,3.0,ART EL,Art Elective,ART (815) 209,9999,FA,
271,9999,L,3.0,ART 187,Survey: Modern Art,ART (815) 210,9999,FA,
272,9999,L,3.0,ART EL,Art Elective,ART (815) 211,9999,FA,
273,9999,L,3.0,ART EL,Art Elective,ART (815) 212,9999,FA,
274,9999,L,3.0,ART EL,Art Elective,ART (815) 213,9999,AP,
275,9999,L,3.0,ART 103,Drawing II,ART (815) 215,9999,AP,
276,9999,L,3.0,ART EL,Art Elective,ART (815) 217,9999,,
277,9999,L,3.0,ART EL,Art Elective,ART (815) 218,9999,,
278,9999,L,3.0,ART 201,Introduction to Life Drawing,ART (815) 219,9999,AP,
279,9999,L,3.0,ART EL,Art Elective,ART (815) 220,9999,AP,
280,9999,L,3.0,ART EL,Art Elective,ART (815) 221,9999,AP,
281,9999,L,2.0,ART EL,Art Elective,ART (815) 223,9999,AP,
282,9999,L,3.0,ART EL,Art Elective,ART (815) 224,9999,,
283,9999,L,2.0,ART EL,Art Elective,ART (815) 225,9999,,
284,9999,L,3.0,ART EL,Art Elective,ART (815) 226,9999,AP,
285,9999,L,2.0,ART EL,Art Elective,ART (815) 230,9999,AP,
286,9999,L,3.0,ART 161,Introduction to Photography,ART (815) 234,9999,AP,
287,9999,L,3.0,ART EL,Art Elective,ART (815) 235,9999,AP,
288,9999,L,3.0,ART EL,Art Elective,ART (815) 236,9999,AP,
289,9999,L,3.0,ART EL,Art Elective,ART (815) 237,9999,AP,
290,9999,L,3.0,ART 121,Intro to Painting,ART (815) 241,9999,AP,
291,9999,L,3.0,ART EL,Art Elective,ART (815) 242,9999,AP,
292,9999,L,3.0,ART EL,Art Elective,ART (815) 253,9999,AP,
293,9999,L,3.0,ART EL,Art Elective,ART (815) 254,9999,AP,
294,9999,L,3.0,ART 141,Intro to Printmaking,ART (815) 255,9999,AP,
295,9999,L,3.0,ART EL,Art Elective,ART (815) 256,9999,AP,
296,9999,L,2.0,ART EL,Art Elective,ART (815) 262,9999,AP,
297,9999,L,2.0,ART EL,Art Elective,ART (815) 270,9999,AP,
298,9999,L,2.0,ART EL,Art Elective,ART (815) 280,9999,AP,
299,9999,L,3.0,ART EL,Art Elective,ART (815) 281,9999,AP,
300,9999,L,3.0,ART EL,Art Elective,ART (815) 282,9999,AP,
301,9999,L,2.0,ART EL,Art Elective,ART (815) 283,9999,AP,
302,9999,L,3.0,ART EL,Art Elective,ART (815) 284,9999,AP,
303,9999,L,3.0,ART EL,Art Elective,ART (815) 285,9999,AP,
304,9999,L,3.0,ART EL,Art Elective,ART (815) 286,9999,AP,
305,9999,L,3.0,ART EL,Art Elective,ART (815) 287,9999,AP,
306,9999,L,1.0,ART EL,Art Elective,ART (815) 288,9999,,
307,9999,L,3.0,ART 154,Intro to Ceramics,ART (815) 290,9999,AP,
308,9999,L,3.0,ART 254,Intermed Ceramics,ART (815) 291,9999,AP,
309,9999,L,3.0,ART 122,Water-Based Media,ART (815) 292,9999,AP,
310,9999,L,3.0,ART EL,Art Elective,ART (815) 293,9999,,
311,9999,L,3.0,ART 122,Water-Based Media,ART (815) 294,9999,AP,
