	to	level	credits	course_2	title_2	course_1	from_	gen_ed	title_1,special
1917	4670		3.0	ENGL 150	Intro to Lit	FLANG (802) 250	Madison Area Tech. College		
1918	4670		3.0	GEN CONF	General Confer	FLANG (802) 281	Madison Area Tech. College		
1919	4670	None	2.0	GEN CONF	General Confer	FLANG (802) 285	Madison Area Tech. College	None	
1920	4670	P	3.0	MATH 010	Bas Math & El Alg	MATGEN (834) 110	Madison Area Tech. College		
1921	4670		3.0	NDC	No Degree Credit	GEN ST (890) 200	Madison Area Tech. College		
1922	4670		1.0	NDC	No Degree Credit	GEN ST (890) 201	Madison Area Tech. College		
1923	4670		1.0	NDC	No Degree Credit	GEN ST (890) 202	Madison Area Tech. College		
1924	4670		3.0	NDC	No Degree Credit	GEN ST (890) 203	Madison Area Tech. College		
1925	4670		3.0	NDC	No Degree Credit	GEN ST (890) 210	Madison Area Tech. College		
1926	4670		1.0	NDC	No Degree Credit	GEN ST (890) 220	Madison Area Tech. College		
1927	9999	L	4.0	BUS 201	Intro Accounting	ACCTG (101) 111	Madison Area Tech. College	AP	
1928	4670	L	3.0	ARTH 111	Anct-Medieval Art	ART (815) 200	Madison Area Tech. College	GE-IV, LE-K4	
1929	4670	L	3.0	ART 107	Found: Draw/Comp	ART (815) 201	Madison Area Tech. College		
1930	4670	L	3.0	Humanities EL	Humanities Elective	ART (815) 202	Madison Area Tech. College	GE-IV, LE-S3	
1931	4670	L	3.0	ART 110	Foundations: 3-D	ART (815) 203	Madison Area Tech. College		
1932	4670		3.0	GEN CONF	General Confer	ART (815) 204	Madison Area Tech. College		
1933	4670	L	3.0	Humanities EL	Humanities Elective	ART (815) 205	Madison Area Tech. College	GE-IV, LE-S3	
1934	4670	L	3.0	ART EL	Art Elective	ART (815) 206	Madison Area Tech. College		
1935	4670		3.0	GEN CONF	General Confer	ART (815) 207	Madison Area Tech. College		
1936	4670	L	3.0	ARTH 109	Art of 20th Cent	ART (815) 210	Madison Area Tech. College	GE-IV, LE-K4	
1937	4670	L	3.0	ART EL	Art Elective	ART (815) 211	Madison Area Tech. College		
1938	4670	L	3.0	ARTH EL	Art History Elective	ART (815) 212	Madison Area Tech. College	GE-IV, LE-K4	
1939	4670		3.0	GEN CONF	General Confer	ART (815) 213	Madison Area Tech. College		
1940	4670	L	3.0	ART 240	Interm Drawing	ART (815) 215	Madison Area Tech. College		
1941	4670		3.0	GEN CONF	General Confer	ART (815) 217	Madison Area Tech. College		
1942	4670		3.0	GEN CONF	General Confer	ART (815) 218	Madison Area Tech. College		
1943	4670	L	3.0	ART 109	Found: Life Draw	ART (815) 219	Madison Area Tech. College		
1944	4670	L	3.0	ART 241	Life Drawing I	ART (815) 219	Madison Area Tech. College		
1945	4670	U	3.0	ART 441	Adv Stu-Lif Drwng	ART (815) 220	Madison Area Tech. College		
1946	4670		3.0	GEN CONF	General Confer	ART (815) 221	Madison Area Tech. College		
1947	4670		2.0	GEN CONF	General Confer	ART (815) 223	Madison Area Tech. College		
1948	4670		3.0	GEN CONF	General Confer	ART (815) 224	Madison Area Tech. College		
